Data,Cidade, Condicao_do_Tempo_Prevista,Temperatura_Tendencia,Temperatura_Minima,Temperatura_Maxima,Vento_Velocidade_Minima,Vento_Velocidade_Maxima,Vento_Direcao,Vento_Intensidade
01/09/2022,Abaetetuba - PA,Parcialmente nublado a nublado com pancadas de chuva isoladas a tarde,Estavel,24,32,60,90,E - NE,Fracos/Moderados
02/09/2022,Abaetetuba - PA,Parcialmente nublado a nublado com chuva e trovoadas a tarde,Estavel,24,31,60,95,E - NE,Fracos/Moderados
03/09/2022,Abaetetuba - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,24,32,60,95,E - NE,Fracos/Moderados
04/09/2022,Abaetetuba - PA,Poucas nuvens a parcialmente nublado com pancadas de chuva isoladas a tarde e no inicio da noite,Estavel,24,33,60,95,E - NE,Fracos/Moderados
05/09/2022,Abaetetuba - PA,Poucas nuvens a parcialmente nublado com pancadas de chuva isoladas a tarde e no inicio da noite,Estavel,24,33,60,95,E - NE,Fracos/Moderados
06/09/2022,Abaetetuba - PA,Claro a nublado com pancadas de chuva isoladas entre o final da tarde e o inicio da noite,Estavel,24,34,45,95,SE - E,Fracos/Moderados
07/09/2022,Abaetetuba - PA,Claro a nublado com pancadas de chuva isoladas a tarde,Estavel,24,33,50,95,SE - E,Fracos/Moderados
08/09/2022,Abaetetuba - PA,Claro a nublado com pancadas de chuva isoladas a tarde,Estavel,24,34,50,95,SE - E,Fracos/Moderados
09/09/2022,Abaetetuba - PA,Claro a nublado,Estavel,24,35,50,95,SE - E,Fracos/Moderados
10/09/2022,Abaetetuba - PA,Claro a nublado,Estavel,24,35,50,95,SE - E,Fracos/Moderados
11/09/2022,Abaetetuba - PA,Claro a nublado com pancadas de chuva isoladas a tarde e a noite,Estavel,24,34,55,95,SE - NE,Fracos/Moderados
12/09/2022,Abaetetuba - PA,Claro a nublado com pancadas de chuva isoladas a tarde e a noite,Estavel,24,34,55,95,E - NE,Fracos/Moderados
13/09/2022,Abaetetuba - PA,Claro a nublado com pancadas de chuva e trovoadas isoladas a tarde e no inicio da noite,Elevacao,25,35,60,100,E - NE,Fracos/Moderados
14/09/2022,Abaetetuba - PA,Claro a nublado com pancadas de chuva e trovoadas isoladas a tarde e no inicio da noite,Estavel,25,34,60,100,E - NE,Fracos/Moderados
15/09/2022,Abaetetuba - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas a tarde,Estavel,25,33,60,100,E - NE,Fracos/Moderados
16/09/2022,Abaetetuba - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas a tarde,Declinio,25,33,60,100,E - NE,Fracos/Moderados
17/09/2022,Abaetetuba - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas a tarde,Estavel,25,33,60,100,E - NE,Fracos/Moderados
